row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
12843,,"ENSG00000170092","SPDYE5",
12844,862,"ENSG00000170099","SERPINA6",866
12845,83469,"ENSG00000170100","ZNF778",197320
12846,78953,"ENSG00000170113","NIPA1",123606
12847,2282,"ENSG00000170122","FOXD4",2298
12848,2831,"ENSG00000170128","GPR25",2848
12849,7281,"ENSG00000170142","UBE2E1",7324
12850,85690,"ENSG00000170144","HNRNPA3",220988
12851,22990,"ENSG00000170145","SIK2",23235
12852,36757,"ENSG00000170153","RNF150",57484
12853,9576,"ENSG00000170160","CCDC144A",9720
12854,,"ENSG00000170161","FAM88B",
12855,89467,"ENSG00000170162","VGLL2",245806
12856,3213,"ENSG00000170166","HOXD4",3233
12857,1132,"ENSG00000170175","CHRNB1",1140
12858,3218,"ENSG00000170178","HOXD12",3238
12859,2976,"ENSG00000170180","GYPB",2993
12860,58839,"ENSG00000170185","USP38",84640
12861,8998,"ENSG00000170190","SLC16A5",9121
12862,80164,"ENSG00000170191","NANP",140838
12863,90260,"ENSG00000170209","ANKK1",255239
12864,144,"ENSG00000170214","ADRA1B",147
12865,,"ENSG00000170215","FAM27B",
12866,36264,"ENSG00000170222","C17orf48",56985
12867,2157,"ENSG00000170231","FABP6",2172
12868,77549,"ENSG00000170234","PWWP2A",114825
12869,119438,"ENSG00000170236","USP50",373509
12870,34320,"ENSG00000170242","USP47",55031
12871,9871,"ENSG00000170248","PDCD6IP",10015
12872,92025,"ENSG00000170255","MRGPRX1",259249
12873,7941,"ENSG00000170260","ZNF212",7988
12874,35526,"ENSG00000170262","MRAP",56246
12875,58351,"ENSG00000170264","FAM161A",84140
12876,8368,"ENSG00000170265","ZNF282",8427
12877,2704,"ENSG00000170266","GLB1",2720
12878,58721,"ENSG00000170270","C14orf142",84520
12879,10668,"ENSG00000170271","C5orf4",10826
12880,10344,"ENSG00000170275","CRTAP",10491
12881,3296,"ENSG00000170276","HSPB2",3316
12882,83704,"ENSG00000170279","C7orf33",202865
12883,34003,"ENSG00000170289","CNGB3",54714
12884,6550,"ENSG00000170290","SLN",6588
12885,23341,"ENSG00000170291","C17orf81",23587
12886,81048,"ENSG00000170293","CMTM8",152189
12887,11172,"ENSG00000170296","GABARAP",11337
12888,94207,"ENSG00000170298","AC025627.16",284194
12889,9342,"ENSG00000170310","STX8",9482
12890,978,"ENSG00000170312","CDC2",983
12891,7271,"ENSG00000170315","UBB",7314
12892,4767,"ENSG00000170322","NFRKB",4798
12893,2152,"ENSG00000170323","FABP4",2167
12894,80296,"ENSG00000170324","FRMPD2",143162
12895,36259,"ENSG00000170325","PRDM10",56980
12896,10531,"ENSG00000170340","B3GNT1",10678
12897,2337,"ENSG00000170345","FOS",2353
12898,10814,"ENSG00000170348","TMED10",10972
12899,,"ENSG00000170356","OR2A20P",
12900,6383,"ENSG00000170364","SETMAR",6419
12901,4061,"ENSG00000170365","SMAD1",4086
12902,1462,"ENSG00000170367","CST5",1473
12903,1459,"ENSG00000170369","CST2",1470
12904,2003,"ENSG00000170370","EMX2",2018
12905,1458,"ENSG00000170373","CST1",1469
12906,78836,"ENSG00000170374","SP7",121340
12907,94742,"ENSG00000170379","FAM115C",285966
12908,9579,"ENSG00000170381","SEMA3E",9723
12909,10299,"ENSG00000170382","LRRN2",10446
12910,7734,"ENSG00000170385","SLC30A1",7779
12911,,"ENSG00000170389","AC099548.4",
12912,81679,"ENSG00000170390","DCLK2",166614
12913,60094,"ENSG00000170396","ZNF804A",91752
12914,35177,"ENSG00000170412","GPRC5C",55890
12915,79447,"ENSG00000170417","TMEM182",130827
12916,85823,"ENSG00000170419","VSTM2A",222008
12917,3831,"ENSG00000170421","KRT8P9",3856
12918,83405,"ENSG00000170423","KRT78",196374
12919,133,"ENSG00000170425","ADORA2B",136
12920,78823,"ENSG00000170426","SDR9C7",121214
12921,4230,"ENSG00000170430","MGMT",4255
12922,83410,"ENSG00000170439","METTL7B",196410
12923,3867,"ENSG00000170442","KRT86",3892
12924,3018,"ENSG00000170445","HARS",3035
12925,81067,"ENSG00000170448","NFXL1",152518
12926,8996,"ENSG00000170454","KRT75",9119
12927,81475,"ENSG00000170456","DENND5B",160518
12928,924,"ENSG00000170458","CD14",929
12929,83676,"ENSG00000170464","DNAJC18",202052
